e, e_dot, e_int, stamp, 
0.7504316505665608,-0.003496673, 0.35077711153518365, 1729888656493409723, 
0.7352938023484665,-0.005010458, 0.3480077123090426, 1729888656544122149,
0.7155403081285279,-0.006985807, 0.34482284676774205, 1729888656594129994,
0.6716003633162418,-0.011379802, 0.36951724682783244, 1729888656644061027,
0.6119299914979892,-0.017346839,0.413021568, 1729888656683265191, 
0.5640925445758487,-0.02213242, 0.4357939001317827, 1729888656734996853,
0.5170161656770503,-0.026436263, 0.4405632139112066, 1729888656803679710,
0.48549196972343134,-0.028995014, 0.45452914008945533, 1729888656844024132,
0.4490173750642693,-0.031495251, 0.4698716028242254, 1729888656894088231,
0.4177586501048499,-0.0332673, 0.4734617797045303, 1729888656944069714,
0.3879052989958487,-0.03473885, 0.4722102423570435, 1729888656994120881,
0.3640516582983737,-0.035148865, 0.46182071665632385, 1729888657044074886,
0.3396506626152117,-0.03319497,0.437876597, 1729888657133496244,
0.3183504781397779,-0.029357951, 0.4013712371322868, 1729888657243187991,
0.29890329952823613,-0.026518925, 0.3726578306909775, 1729888657344064695,
0.2843735263990771,-0.023264264, 0.3443486683461963, 1729888657443410632,
0.27457689853031286,-0.021091507, 0.32927206911354057, 1729888657533665046,
0.2625940853548101,-0.018642329, 0.30572228319680916, 1729888657644156551,
0.2533774762675369,-0.016438117, 0.28815485386161244, 1729888657744083154,
0.24678395921794494,-0.014112134, 0.26981109600530473, 1729888657844085408,
0.23547841474822107,-0.012857324, 0.2617085299551551, 1729888657934863273,
0.22250671564608038,-0.011714395, 0.24610862095852692, 1729888658044123799,
0.2082274489767627,-0.011012303, 0.23447307814401763, 1729888658144079982,
0.1936974342656067,-0.010520587, 0.22135313169145035, 1729888658243718026,
0.17686789247877666,-0.010750563, 0.21443578765551824, 1729888658334923815,
0.15920296820771485,-0.011537393, 0.2011904518773207, 1729888658443236342,
0.142020192,-0.012057389, 0.18907152319167422, 1729888658544085637,
0.1252055430293717,-0.012817193, 0.17470472756258368, 1729888658644133351,
0.10901738805587835,-0.013776657, 0.16535197389143894, 1729888658734384370,
0.092597305,-0.014288111, 0.14982843761208503, 1729888658844160556,
0.076376761,-0.014612995, 0.1356117630985241, 1729888658943447866,
0.069064113,-0.013916334, 0.12025899665745578, 1729888659044109043,
0.053575480577252144,-0.014012195, 0.10870320727750374, 1729888659136084134,
0.040552787592405215,-0.01363151,0.094000616, 1729888659244134143,
0.028067692,-0.013113528,0.080611268, 1729888659344097195,
0.019055377,-0.012296482,0.067234211, 1729888659444101966,
0.011250295422142065,-0.011395525,0.056804389, 1729888659533954941,
0.002645889,-0.01063715,0.045232847, 1729888659643407188,
-0.004184615,-0.009678192,0.034983785, 1729888659744127642,
-0.009539042,-0.00859158, 0.025525732554593308, 1729888659844092041,
-0.012984504,-0.008204862,0.017771241, 1729888659933416430,
-0.017111018,-0.00706865, 0.010023716945141009, 1729888660043740539,
-0.017900641,-0.005845343,0.003586728, 1729888660144109028,
-0.016152841,-0.004422053,-0.001499941, 1729888660244097718,
-0.018078536,-0.003713391,-0.005734351, 1729888660333993511,
-0.01670023,-0.002795053,-0.008897353, 1729888660443170310,
-0.014595497,-0.001724139,-0.011204104, 1729888660544095539,
-0.014806704,-0.001062209,-0.012640936, 1729888660643451232,
-0.014553836,-0.000501479,-0.013707717, 1729888660733909750,
-0.011755379,0.000122912,-0.014086251, 1729888660833210284,
-0.011812659,0.000529836,-0.013812211, 1729888660944114750,
-0.013505873,0.000439477,-0.01333727, 1729888661044115970,
-0.012841168,0.000331167,-0.013185593, 1729888661134090344,
-0.008732903,0.000934563,-0.012363271, 1729888661244213205,
-0.008072531,0.00086277,-0.011463868, 1729888661344120242,
-0.007538876,0.000705662,-0.010530135, 1729888661443293835,
-0.006678954,0.000812775,-0.009930313, 1729888661533321950,
-0.006273053,0.000828078,-0.009229087, 1729888661633231438,
-0.00419175,0.000756363,-0.008198602, 1729888661744121125,
-0.002117732,0.000969493,-0.007269692, 1729888661844124563,
-0.000516099,0.001298977,-0.00633736, 1729888661934084930,
0.00042301,0.001326418,-0.005085516, 1729888662044680447,
0.000319547,0.000905245,-0.003904247, 1729888662144127344,
0.001036008,0.000910854,-0.002988387, 1729888662244116938,
0.001835607,0.000937448,-0.002155631, 1729888662334051990,
0.003836634,0.001051559,-0.001117435, 1729888662433631426,
0.004783094,0.001105615,-7.79E-05, 1729888662540131200,
0.00571622,0.000990797,0.000996887, 1729888662641092630,
0.009159647,0.001127738,0.002237799, 1729888662733214988,
0.009266401,0.00097825,0.003248349, 1729888662833397450,
0.009668266,0.000924526,0.004144005, 1729888662944134123,
0.011274667,0.001095512,0.005176484, 1729888663044151846,
0.012512017117021212,0.001147601,0.006291148, 1729888663133241825,
0.011343501751908125,0.000950789,0.00715071, 1729888663243512774,
0.011978764931407149,0.000814213,0.008050355, 1729888663340141012,
0.012826654737785104,0.000804356,0.008839085, 1729888663441138947,
0.013410318950752176,0.00076941,0.009764378, 1729888663537208041,
0.013829893007169858,0.000467025, 0.010278111437128081, 1729888663647500539,
0.016502554943909287,0.000723615, 0.011097683197832992, 1729888663739237696,
0.019882574429137767,0.001021431, 0.011845064153387529, 1729888663844135313,
0.021101494817196143,0.000982683, 0.012863970304080485, 1729888663953965561,
0.026027847022414674,0.001351583, 0.014336642593602853, 1729888664043833626,
0.031655227,0.002031173, 0.016052590323384006, 1729888664144150742,
0.028535891,0.001655713, 0.017500750760172868, 1729888664239228118,
0.028925675903442416,0.001609902, 0.019259977417602284, 1729888664338241789,
0.044491556,0.003108124, 0.021887938342750234, 1729888664448434296,
