e, e_dot, e_int, stamp, 
0.7854027005424471, 1.8189894035458565e-12,0.07920278, 1729887741534748492,
0.7819258130424741,-0.001158962,0.070622454, 1729887741584706518,
0.7743549653345915,-0.003682578,0.069556685, 1729887741635592021,
0.7642708874791136,-0.005884975,0.077304128, 1729887741674758183,
0.7507394106609296,-0.007871852,0.076334947, 1729887741724703148,
0.7305245909529106,-0.011248766,0.082352642, 1729887741774696653,
0.7102275915696502,-0.01350394,0.080244849, 1729887741824732988,
0.687985715,-0.014179625,0.070895168, 1729887741884718513,
0.6620325428724901,-0.016065016,0.069368803, 1729887741934582621,
0.642295505,-0.01523007, 0.060028531229882144, 1729887741984630064,
0.6167568068390042,-0.015091912, 0.057089282690364486, 1729887742035593095,
0.5691675416269553,-0.024375988,0.091220219, 1729887742075020241,
0.5168760044770291,-0.033293601, 0.11923684820927079, 1729887742124744726,
0.469826487,-0.033113685, 0.10990126390344154, 1729887742224707192,
0.4310027589307532,-0.028624415,0.089756287, 1729887742334816649,
0.3858763700750313,-0.027983372,0.080787753, 1729887742436616789,
0.3372389230339792,-0.031254612,0.080744287, 1729887742524749543,
0.29970952116481964,-0.028722283,0.070215547, 1729887742624976314,
0.26712552181997606,-0.023371134, 0.057337543207486644, 1729887742734635231,
0.23506629397142986,-0.021547742,0.051700723, 1729887742830922276,
0.19997774157239123,-0.022382593,0.04915372, 1729887742924899121,
0.17214964820294665,-0.020972215,0.041815318, 1729887743024340297,
0.14671073279686586,-0.01775567, 0.032850742116666706, 1729887743134907028,
0.12307802338207685,-0.016357208, 0.028512913031519656, 1729887743230939868,
0.10022417152469243,-0.01549552, 0.025879917929332755, 1729887743324854956,
0.082563137,-0.013504962,0.021022991, 1729887743424493400,
0.070004903,-0.010073089,0.016014499, 1729887743534684797,
0.057886232,-0.008225635, 0.013668040148247457, 1729887743630691903,
0.04832066,-0.007228081,0.012344464, 1729887743724736130,
0.038647322749506774,-0.00641297,0.009922057, 1729887743825528150,
0.030274564,-0.006015365,0.007431763, 1729887743934900227,
0.024809675975232315,-0.004612549,0.006352146, 1729887744031018695,
0.017860212079857662,-0.004138117,0.00509527, 1729887744125064035,
0.013134033,-0.003891881,0.003679448, 1729887744234327338,
0.010313070964780846,-0.002515714,0.002616116, 1729887744334618160,
0.00650884,-0.002208398,0.001928354, 1729887744432133214,
0.005410697,-0.001634125,0.001557504, 1729887744524617136,
0.003261658,-0.001082394,0.001045045, 1729887744625252186,
0.003437235,-0.000657821,0.000766882, 1729887744734781963,
0.004133138,0.000290493,0.000700124, 1729887744831766543,
0.002553816,-0.000294473,0.000708176, 1729887744924767444,
0.00280198,-0.000443719,0.000651762, 1729887745025670332,
0.001272387,-0.000427143,0.000419752, 1729887745134614264,
0.002076349,-0.000241877,0.000400212, 1729887745231729931,
0.001815003,0.000180872,0.000361615, 1729887745324599466,
0.002170825, 3.1491906886042344e-05,0.000415613, 1729887745426932635,
0.002670214,0.00028507,0.000423611, 1729887745534688495,
0.000861699,-0.000436376,0.000360507, 1729887745632607887,
0.002208336,-0.000153959,0.000399949, 1729887745725617594,
0.001295313,0.000144538,0.000306082, 1729887745822257551,
-0.0007836,-0.000997312,0.000172279, 1729887745934640890,
0.00043828,-0.000285678, 6.028981283221636e-05, 1729887746032606454,
0.001468214,0.000750604, 7.861660710868904e-05, 1729887746124650509,
0.001617949,0.000393223,0.000246285, 1729887746222996617,
0.001828025,0.000119937,0.000312773, 1729887746334688016,
0.002996026,0.000459359,0.000408789, 1729887746432634052,
0.002305425,0.000159134,0.000499065, 1729887746525628951,
0.002529939,-0.000155362,0.000547189, 1729887746623004395,
0.003324633,0.000339736,0.000514075, 1729887746735629856,
0.002324345,-6.85E-05,0.00051976, 1729887746832618212,
0.001111003,-0.000737877,0.00047564, 1729887746924628225,
0.001876705,-0.000149213,0.000372507, 1729887747023264456,
0.001399435, 9.614386199522744e-05,0.000277752, 1729887747135711749,
-0.000207432,-0.000694712,0.00019464, 1729887747233638814,
-0.000555458,-0.000651631, 4.498719201534169e-05, 1729887747325642892,
0.000754993,0.000320808,-5.52E-07, 1729887747423920803,
0.001543524,0.000699661,0.00010922, 1729887747537664794,
0.000346459,-0.000136178,0.000167884, 1729887747633642778,
0.00019026,-0.000451088,0.000146429, 1729887747725645068,
0.00129667,0.000316737,0.000128079, 1729887747824061093,
0.002751001,0.00085358,0.000268162, 1729887747936816082,
0.002896876,0.000533402,0.000439435, 1729887748033638619,
9.86428745618495e-05,-0.000884119,0.000404282, 1729887748126645789,
0.000724632,-0.000724081,0.000261868, 1729887748223471643,
0.001562207,0.000487855,0.000149472, 1729887748337703395,
0.001895853,0.000390407,0.000265068, 1729887748434646984,
0.002087612,0.000175135,0.000386793, 1729887748525680791,
0.002228811,0.000110986,0.000434659, 1729887748624764876,
0.001728438,-0.000119725,0.000384328, 1729887748734921269,
0.002879342,0.000216844,0.000431829, 1729887748834668316,
0.003581596,0.000617719,0.00057075, 1729887748925659204,
0.002805044,-2.48E-05,0.000650139, 1729887749024161570,
0.003223949,-0.000119216,0.000611635, 1729887749134741192,
0.003167438,0.000120798,0.000582317, 1729887749234653643,
0.004084298,0.000286783,0.00072997, 1729887749325666576,
0.00426106,0.000364541,0.000806111, 1729887749424613348,
0.005368623,0.000428108,0.000872968, 1729887749534713631,
0.004403772, 4.757084124077752e-05,0.000894153, 1729887749634669467,
0.004565402,-0.00026774,0.000999009, 1729887749725679735,
0.002816393,-0.000529127,0.000824402, 1729887749825816885,
0.003475857,-0.000363181,0.000691156, 1729887749934709551,
0.003607917,0.000263841,0.000624706, 1729887750035667286,
0.004682607,0.00040225,0.000819933, 1729887750125677989,
0.005123079,0.000505054,0.000942177, 1729887750224968845,
0.00442746,-8.50E-05,0.000905946, 1729887750334731077,
0.004854181,-8.96E-05,0.000907829, 1729887750435689974,
0.001907208,-0.000840084,0.00077963, 1729887750525682404,
0.003580426,-0.000424585,0.00072709, 1729887750624759035,
0.004065209,0.000719334,0.000608125, 1729887750734720077,
0.002804836,-0.00025853,0.000662791, 1729887750835676431,
0.004281263, 7.201797127942555e-05,0.00077708, 1729887750925697189,
0.003165593,0.000120253,0.000716796, 1729887751025942677,
0.003865665,-0.000138533,0.0007238, 1729887751134752482,
0.006053054,0.000962487,0.000829793, 1729887751235702077,
0.004384477,0.000172937,0.000992048, 1729887751326699165,
0.003824821,-0.000742744,0.000997118, 1729887751425958781,
0.004500518, 3.868019096719966e-05,0.000813144, 1729887751534774635,
0.004138107,0.000104429,0.000787155, 1729887751635696480,
0.004493507,-2.34E-06,0.000915736, 1729887751726707634,
0.006273678,0.000711857,0.001046078, 1729887751825167783,
0.007175983,0.000894159,0.001135346, 1729887751935904953,
0.007327459,0.00035126,0.001317442, 1729887752035712806,
0.008947354,0.000590457,0.001641716, 1729887752125728707,
0.009992617,0.000888386,0.001836817, 1729887752225937731,
0.009137995, 6.354701979812323e-05,0.001777935, 1729887752335749157,
0.008845074,-0.000382514,0.001768258, 1729887752435720365,
0.009963761,0.000275256,0.001956904, 1729887752525713212,
0.008880833, 1.1919538186392723e-05,0.001941769, 1729887752625341240,
0.006816907,-0.001048951,0.001624707, 1729887752735780347,
0.006692952,-0.000729294,0.001414778, 1729887752835719555,
0.007705297,0.00029613,0.001485242, 1729887752925719435,
0.007398045,0.000235031,0.001529052, 1729887753025277459,
0.00754061,-5.49E-05,0.001433982, 1729887753135745070,
0.008588684,0.00039688,0.001486644, 1729887753235733283,
0.007565518, 8.302815940589939e-06,0.001659224, 1729887753325727131,
0.007393537,-0.000398382,0.001651684, 1729887753425297106,
0.008258472,0.000230985,0.001469872, 1729887753535801437,
0.007324613,-2.30E-05,0.001452327, 1729887753635722951,
0.006357556,-0.000633639,0.001536165, 1729887753725727578,
0.006476988,-0.000282542,0.001413731, 1729887753825349652,
0.006638985, 9.380985570180596e-05,0.001233315, 1729887753935771292,
0.006746627, 8.987978283869769e-05,0.00126021, 1729887754035735109,
0.006498035,-4.70E-05,0.001391999, 1729887754125769972,
0.007023361, 9.224447701113488e-05,0.001417295, 1729887754226074197,
0.007485248,0.000329071,0.001330062, 1729887754335791616,
0.007592532,0.000189724,0.001401743, 1729887754435857127,
0.008644766,0.000386506,0.001630107, 1729887754525740410,
0.009753206,0.000720225,0.001781334, 1729887754626129217,
0.010715513602582494,0.000690249,0.001910413, 1729887754731886931,
0.009779108, 8.634126952807483e-06,0.00195413, 1729887754831742836,
0.010144019428124484,-0.000190498,0.002108689, 1729887754928745463,
0.009093013,-0.000228698,0.002033185, 1729887755025554732,
0.006996225,-0.001049265,0.001666712, 1729887755135218966,
0.00381679,-0.001758741,0.001257803, 1729887755235767241,
0.004869434,-0.00070893,0.001076855, 1729887755325821872,
0.002245158,-0.000523877,0.000766854, 1729887755425328314,
0.001242798,-0.001208879,0.000540461, 1729887755531820700,
0.001572965,-0.000224065,0.000320514, 1729887755635783221,
0.004707079,0.00115476,0.000526601, 1729887755725826630,
0.002205169,0.000210735,0.000594152, 1729887755825776585,
0.002402304,-0.000768258,0.000589852, 1729887755935827538,
0.009683755,0.002492862,0.000905478, 1729887756035842575,
0.013099196519588463,0.003565631,0.001738202, 1729887756125805029,
0.006018567,-0.001221729,0.001967036, 1729887756225919530,
0.002840178,-0.003419673,0.001448896, 1729887756332855012,
0.011086056,0.001689163,0.001264686, 1729887756430808315,
