x, y, th, stamp, 
-1.9998935162340865, -0.5000010768522047, 2.1274862176924513e-05, 813893000000, 
-1.9998935135935239, -0.5000010767890417, 2.1275800823726528e-05, 813927000000, 
-1.999893511453757, -0.500001076868507, 2.1276611956944914e-05, 813961000000, 
-1.9998935168209875, -0.5000010768714563, 2.1277377858691195e-05, 813995000000, 
-1.9998935312157629, -0.5000010768601808, 2.127803134433377e-05, 814029000000, 
-1.999893533374299, -0.5000010768428463, 2.1278877682679883e-05, 814063000000, 
-1.9998935252315067, -0.5000010767965186, 2.127983966547682e-05, 814097000000, 
-1.9998935065827632, -0.5000010767914395, 2.1280872883396493e-05, 814131000000, 
-1.9998934969623665, -0.5000010768807853, 2.128183500375727e-05, 814165000000, 
-1.9998934949652134, -0.5000010768926271, 2.128271192785361e-05, 814199000000, 
-1.9998935124724577, -0.5000010768396151, 2.128331699465433e-05, 814233000000, 
-1.9998935242983604, -0.500001076908462, 2.1284049172967708e-05, 814267000000, 
-1.9998935357736458, -0.5000010768965042, 2.1284761538746988e-05, 814301000000, 
-1.999893538185465, -0.5000010768784391, 2.1285598081045674e-05, 814335000000, 
-1.9998935302873917, -0.5000010768316869, 2.1286545008842235e-05, 814369000000, 
-1.999893511881469, -0.5000010768262043, 2.128758194616607e-05, 814403000000, 
-1.999893483071365, -0.5000010769086028, 2.1288709287448657e-05, 814437000000, 
-1.9998934810964015, -0.5000010768456303, 2.128963405864941e-05, 814471000000, 
-1.9998934796202852, -0.5000010769252756, 2.1290440213669405e-05, 814505000000, 
-1.9998934856478525, -0.5000010769283925, 2.1291203444634257e-05, 814539000000, 
-1.9998935006994372, -0.5000010769172676, 2.1291848822574173e-05, 814573000000, 
-1.9998935035119958, -0.5000010769000699, 2.129268714959498e-05, 814607000000, 
-1.9998934960203059, -0.5000010768538665, 2.1293644131140296e-05, 814641000000, 
-1.999893478019931, -0.5000010768489014, 2.1294671576699396e-05, 814675000000, 
-1.9998934690451304, -0.5000010769383486, 2.1295626494567567e-05, 814709000000, 
-1.999893461541268, -0.5000010769012877, 2.1296562442248964e-05, 814743000000, 
-1.9998934737678125, -0.5000010769261862, 2.1297255388571032e-05, 814777000000, 
-1.9998934772559014, -0.5000010769603052, 2.1298046087537115e-05, 814811000000, 
-1.999893492651562, -0.5000010769488212, 2.1298702322917273e-05, 814845000000, 
-1.9998934957915517, -0.5000010769314925, 2.1299520673996835e-05, 814879000000, 
-1.9998934886261204, -0.5000010768851795, 2.1300470338302074e-05, 814913000000, 
-1.9998934709501712, -0.5000010768801095, 2.1301504389213103e-05, 814947000000, 
-1.9998934428663395, -0.5000010769628938, 2.130261869966413e-05, 814981000000, 
-1.9998934416107401, -0.5000010769002748, 2.1303536080797133e-05, 815015000000, 
-1.999893440852164, -0.5000010769802639, 2.1304338988476884e-05, 815049000000, 
-1.9998934475929713, -0.500001076983702, 2.1305094836687396e-05, 815083000000, 
-1.9998934734087093, -0.5000010769866408, 2.1305681640372127e-05, 815117000000, 
-1.999893489244729, -0.5000010769512272, 2.1306392940466693e-05, 815151000000, 
-1.9998934961021875, -0.5000010770021378, 2.1307118049912427e-05, 815185000000, 
-1.999893498379584, -0.5000010770007368, 2.1307943370947617e-05, 815219000000, 
-1.9998934942000084, -0.500001076989175, 2.130886474817057e-05, 815253000000, 
-1.999893479777623, -0.5000010769535106, 2.1309847286859118e-05, 815287000000, 
-1.999893455121298, -0.5000010768867782, 2.131093064341661e-05, 815321000000, 
-1.9998934196497615, -0.5000010770057619, 2.131217078461904e-05, 815355000000, 
-1.9998934099836203, -0.5000010769610471, 2.1313146665004927e-05, 815389000000, 
-1.9998933994019394, -0.5000010770108124, 2.1314022445111646e-05, 815423000000, 
-1.9998934018522232, -0.5000010770167739, 2.1314851296717767e-05, 815457000000, 
-1.9998934254176122, -0.5000010769767297, 2.1315469696486195e-05, 815491000000, 
-1.9998934374881294, -0.5000010770327611, 2.1316169504737958e-05, 815525000000, 
-1.9998934640120452, -0.5000010770177115, 2.131672308973049e-05, 815559000000, 
-1.9998934755728783, -0.5000010769916671, 2.1317454586403228e-05, 815593000000, 
-1.9998934767880583, -0.5000010769335592, 2.131832848655864e-05, 815627000000, 
-1.9998934672119693, -0.5000010770037345, 2.1319294174217287e-05, 815661000000, 
-1.999893449081413, -0.5000010770454724, 2.132028048965028e-05, 815695000000, 
-1.9998934264859547, -0.5000010770358865, 2.1321329679355116e-05, 815729000000, 
-1.9998934061698677, -0.5000010770243688, 2.1322441203342927e-05, 815763000000, 
-1.9998933856841716, -0.5000010770490344, 2.132348028649944e-05, 815797000000, 
-1.9998933851971368, -0.5000010770062644, 2.132433183192897e-05, 815831000000, 
-1.9998933987941188, -0.500001077032258, 2.132500211824244e-05, 815865000000, 
-1.9998934128335408, -0.500001077069245, 2.1325711549073335e-05, 815899000000, 
-1.9998934263616301, -0.5000010770585894, 2.1326363603937783e-05, 815933000000, 
-1.9998934308219645, -0.5000010770414789, 2.1327192188369627e-05, 815967000000, 
-1.9998934249616591, -0.5000010769956558, 2.1328139599997377e-05, 816001000000, 
-1.9998934085853286, -0.5000010769910535, 2.1329146154735153e-05, 816035000000, 
-1.9998933817954514, -0.5000010770742735, 2.1330246092468205e-05, 816069000000, 
-1.9998933818260445, -0.500001077012065, 2.133115980385096e-05, 816103000000, 
-1.9998933823494773, -0.5000010770924437, 2.1331949204658467e-05, 816137000000, 
-1.9998933901036002, -0.5000010770140072, 2.1332683198302082e-05, 816171000000, 
-1.9998934014520007, -0.5000010770849199, 2.1333402686993685e-05, 816205000000, 
-1.9998934062720055, -0.5000010770672918, 2.1334198664497104e-05, 816239000000, 
-1.9998934007916769, -0.5000010770218224, 2.1335111739593938e-05, 816273000000, 
-1.999893384795301, -0.500001077017498, 2.1336138494624427e-05, 816307000000, 
-1.9998933661712046, -0.5000010771120581, 2.133716168361065e-05, 816341000000, 
-1.9998933663025418, -0.5000010770688303, 2.1338075200005566e-05, 816375000000, 
-1.9998933804962373, -0.5000010770946428, 2.133871161612307e-05, 816409000000, 
-1.9998933859562693, -0.5000010771293816, 2.13394810088997e-05, 816443000000, 
-1.9998934033130575, -0.5000010771184438, 2.1340139409976556e-05, 816477000000, 
-1.99989340840607, -0.5000010771016303, 2.1340934769124074e-05, 816511000000, 
-1.999893403185068, -0.5000010770557821, 2.1341854897187073e-05, 816545000000, 
-1.9998933874456535, -0.5000010770511405, 2.1342874921047978e-05, 816579000000, 
-1.999893361290332, -0.5000010771343221, 2.134397506210337e-05, 816613000000, 
-1.9998933500631522, -0.50000107711212, 2.134496604571375e-05, 816647000000, 
-1.9998933395048535, -0.500001077140197, 2.1345891497637498e-05, 816681000000, 
-1.9998933535773005, -0.5000010770726142, 2.1346591142869097e-05, 816715000000, 
-1.9998933656040485, -0.500001077139431, 2.1347257065061828e-05, 816749000000, 
-1.9998933711035884, -0.500001077122203, 2.134804437579868e-05, 816783000000, 
-1.9998933663011054, -0.5000010770770197, 2.1348977501433048e-05, 816817000000, 
-1.9998933509802543, -0.5000010770729711, 2.134999262402986e-05, 816851000000, 
-1.9998933330283677, -0.5000010771677746, 2.1350996224927097e-05, 816885000000, 
-1.9998933338278246, -0.500001077124777, 2.1351909530759477e-05, 816919000000, 
-1.999893348685943, -0.5000010771508068, 2.1352545283757595e-05, 816953000000, 
-1.9998933548082525, -0.5000010771857494, 2.1353303441763917e-05, 816987000000, 
